"","Token","n"
"318","solicitar",2366
"319","presión",2363
"320","movimiento",2359
"321","casanare",2344
"322","principio",2334
"323","llegar-",2326
"324","equipo",2316
"325","firmar",2309
"326","armamento",2306
"327","pérez",2296
"328","m",2294
"329","seguro",2290
"330","f",2275
"331","miembros",2275
"332","procurador",2251
"333","resto",2245
"334","carretera",2236
"335","nombre",2227
"336","grado",2225
"337","conflicto",2218
"338","lópez",2215
"339","ejecución",2214
"340","común",2204
"341","ejecutivo",2198
"342","informe",2194
"343","camioneta",2187
"344","cambio",2157
"345","finca",2157
"346","determinar",2147
"347","far",2137
"348","producir",2124
"349","marzo",2123
"350","recoger",2123
"351","vacación",2123
"352","faltar",2119
"353","ordenar",2119
"354","defensa",2115
"355","pendiente",2103
"356","mundo",2098
"357","caperar",2094
"358","escucha",2093
"359","salía",2092
"360","regular",2079
"361","estructura",2077
"362","cuarto",2075
"363","tema",2075
"364","apellido",2069
"365","acompañar",2048
"366","darle",2042
"367","comante",2039
"368","grande",2038
"369","ilegal",2037
"370","ocurrido",2032
"371","país",2012
"372","periodo",2009
"373","abajo",2008
"374","momento",2001
"375","acordar",1997
"376","representación",1993
"377","carlo",1990
"378","imagino",1986
"379","terreno",1985
"380","enterar",1981
"381","región",1976
"382","político",1963
"383","comunicar",1959
"384","despacho",1958
"385","dato",1950
"386","guzmán",1948
"387","cédula",1940
"388","joven",1936
"389","efecto",1934
"390","autodefensa",1928
"391","radial",1928
"392","resultar",1913
"393","lograr",1908
"394","sistema",1905
"395","difícil",1901
"396","paso",1896
"397","específico",1894
"398","perder",1892
"399","elemento",1891
"400","depender",1890
"401","digám",1885
"402","digámoslo",1885
"403","precisamente",1882
"404","aportar",1881
"405","bogotar",1881
"406","reunir",1878
"407","plano",1877
"408","comenzar",1864
"409","efectivamente",1864
"410","experiencia",1844
"411","escuchado",1843
"412","tarea",1840
"413","durar",1838
"414","conocido",1833
"415","santa",1826
"416","febrero",1816
"417","ubicar",1816
"418","relato",1811
"419","patrullaje",1809
"420","intervención",1808
"421","campesino",1807
"422","corresponder",1802
"423","responder",1796
"424","precisar",1787
"425","sujeto",1776
"426","meter",1773
"427","presentación",1771
"428","delincuencia",1770
"429","mía",1768
"430","octubrir",1768
"431","atrás",1767
"432","ingresar",1766
"433","anteriormente",1765
"434","normalmente",1762
"435","delta",1760
"436","públicar",1760
"437","coger",1759
"438","legal",1755
"439","llgar",1755
"440","recompensa",1754
"441","mencionado",1752
"442","generar",1750
"443","agosto",1746
"444","realidad",1736
"445","autoridad",1727
"446","soto",1725
"447","juar",1723
"448","gustar",1721
"449","blanco",1720
"450","libertad",1719
"451","comunidad",1709
"452","falso",1709
"453","cometer",1708
"454","medellín",1708
"455","ciudad",1706
"456","reparación",1704
"457","artículo",1698
"458","competencia",1696
"459","inicialmente",1694
"460","da",1689
"461","escuadrar",1687
"462","noviembre",1687
"463","idea",1678
"464","aparte",1675
"465","extorsión",1675
"466","evento",1674
"467","establecer",1661
"468","fiscal",1659
"469","andar",1657
"470","completo",1657
"471","supuestamente",1656
"472","condición",1653
"473","llegado",1651
"474","identificar",1645
"475","alias",1639
"476","alcanzar",1631
"477","camino",1630
"478","carpeta",1623
"479","h",1622
"480","atención",1617
"481","gasto",1617
"482","circunstancia",1615
"483","cantidad",1613
"484","asesinado",1612
"485","llegaban",1610
"486","centro",1609
"487","mover",1606
"488","septiembre",1605
"489","beneficio",1604
"490","dio",1600
"491","jurídicar",1599
"492","suárez",1599
"493","desplazamiento",1596
"494","considerar",1595
"495","básicamente",1594
"496","escrito",1589
"497","encuentro",1585
"498","ordinario",1582
"499","receso",1581
"500","relacionado",1580
"501","solicitud",1580
"502","noveno",1575
"503","organizar",1573
"504","entrenamiento",1568
"505","línea",1568
"506","leer",1566
"507","recuerde",1561
"508","tr",1558
"509","qu",1556
"510","er",1555
"511","pleno",1546
"512","poquito",1546
"513","posterior",1541
"514","error",1538
"515","munición",1532
"516","red",1532
"517","ayudar",1526
"518","garcer",1526
"519","agregar",1524
"520","traer",1523
"521","documentación",1522
"522","mayo",1520
"523","disposición",1518
"524","anexo",1516
"525","palabra",1516
"526","referencia",1512
"527","revisar",1511
"528","fuente",1510
"529","seguramente",1499
"530","subteniente",1492
"531","motorizado",1488
"532","administrativa",1486
"533","río",1484
"534","coral",1479
"535","formación",1473
"536","repito",1471
"537","carrera",1469
"538","auto",1468
"539","rivero",1466
"540","niño",1462
"541","d",1459
"542","granada",1459
"543","conducta",1458
"544","campo",1455
"545","muchísimo",1454
"546","mujer",1452
"547","desplazar",1449
"548","infantería",1448
"549","puntual",1444
"550","ctú",1441
"551","institución",1441
"552","helicóptero",1434
"553","jurídico",1431
"554","observar",1430
"555","daño",1427
"556","directivo",1427
"557","abril",1426
"558","adelantar",1425
"559","confianza",1424
"560","colombia",1423
"561","principal",1421
"562","coordinación",1420
"563","cu",1418
"564","padre",1413
"565","caer",1411
"566","llego",1409
"567","suber",1404
"568","par",1402
"569","totalmente",1400
"570","celular",1399
"571","servir",1397
"572","semana",1395
"573","contribuir",1387
"574","cementerio",1380
"575","pitalito",1375
"576","comprar",1374
"577","hablado",1374
"578","labor",1374
"579","cuadro",1373
"580","administrativo",1369
"581","procuradur",1367
"582","aspecto",1364
"583","capturar",1362
"584","desempeñar",1362
"585","actuar",1361
"586","seguimiento",1361
"587","teléfono",1360
"588","aclarar",1348
"589","reibar",1345
"590","responsable",1343
"591","subir",1341
"592","decidir",1338
"593","herido",1336
"594","parecer",1336
"595","quitar",1336
"596","conformar",1331
"597","urab",1331
"598","gonzález",1329
"599","necesidad",1324
"600","comisión",1320
"601","secuestro",1319
"602","pequeño",1315
"603","detenido",1314
"604","jep",1313
"605","berlín",1312
"606","cuestión",1312
"607","asesinato",1308
"608","extrajudicial",1307
"609","análisis",1304
"610","búsqueda",1294
"611","suyo",1293
"612","funcionario",1290
"613","recurso",1290
"614","asesinar",1278
"615","asignar",1276
"616","mayoría",1276
"617","neiva",1276
"618","menor",1274
"619","luis",1272
"620","hila",1269
"621","respeto",1269
"622","correr",1264
"623","ent",1261
"624","rojo",1258
"625","cabeza",1256
"626","memoria",1256
"627","específicamente",1254
"628","cuénteno",1253
"629","funcionar",1253
"630","operativo",1253
"631","siquiera",1252
"632","antioquia",1249
"633","finalmente",1245
"634","positivo",1245
"635","entendido",1241
"636","moral",1241
"637","honorable",1240
"638","contexto",1236
"639","supuesto",1236
"640","magistrado",1234
"641","je",1232
"642","expediente",1231
"643","regresar",1230
"644","disciplinario",1225
"645","peso",1222
"646","planeamiento",1218
"647","aporte",1217
"648","establecido",1217
"649","igualmente",1215
"650","espacio",1214
"651","rol",1214
"652","romero",1207
"653","dirección",1206
"654","exigir",1206
"655","inmediatamente",1204
"656","planear",1203
"657","obligación",1200
"658","significar",1200
"659","distinto",1196
"660","inicio",1195
"661","edad",1192
"662","miliciano",1192
"663","parte",1190
"664","cumplimiento",1189
"665","permanente",1187
"666","amenazar",1186
"667","huilo",1184
"668","cerro",1182
"669","tenente",1182
"670","distancia",1177
"671","dirigir",1175
"672","obtener",1175
"673","madre",1174
"674","denuncia",1171
"675","desmovilizado",1171
"676","hoja",1168
"677","relatar",1166
"678","atender",1164
"679","retomar",1163
"680","urbano",1163
"681","abogada",1158
"682","conocí",1158
"683","dur",1157
"684","decirlo",1154
"685","hablo",1153
"686","permanecer",1153
"687","real",1153
"688","territorio",1152
"689","diferencia",1149
"690","recibido",1149
"691","mentira",1146
"692","catapulta",1145
"693","propósito",1141
"694","participado",1139
"695","claridad",1138
"696","fácil",1138
"697","conversación",1136
"698","sabrir",1135
"699","asumir",1131
"700","caminar",1129
"701","característica",1129
"702","duda",1126
"703","mostrar",1125
"704","meta",1120
"705","necesario",1120
"706","práctica",1112
"707","comentario",1111
"708","dolor",1108
"709","orientador",1108
"710","garzón",1107
"711","irregular",1106
"712","malo",1105
"713","canadá",1103
"714","hab",1103
"715","manejo",1102
"716","encargar",1100
"717","suministrar",1097
"718","hacerle",1095
"719","territorial",1094
"720","puerto",1093
"721","álvarez",1092
"722","compromiso",1090
"723","creería",1089
"724","pena",1089
"725","ejercer",1088
"726","puente",1087
"727","revista",1085
"728","etcétera",1083
"729","manual",1082
"730","cadáver",1081
"731","comilla",1081
"732","fecha",1081
"733","posibilidad",1079
"734","antecedente",1077
"735","juez",1077
"736","trasladar",1077
"737","ejecutar",1073
"738","formar",1073
"739","analista",1072
"740","operar",1072
"741","detallado",1070
"742","gómez",1069
"743","papel",1064
"744","absolutamente",1062
"745","capacidad",1060
"746","sacar-",1060
"747","motivo",1057
"748","patrulla",1054
"749","analizar",1053
"750","magistratura",1052
"751","yopal",1052
"752","devolver",1050
"753","elaborar",1050
"754","fernar",1050
"755","daiva",1048
"756","saludo",1047
"757","agradecer",1046
"758","consejo",1046
"759","camuflado",1044
"760","miedo",1044
"761","tercero",1044
"762","supe",1042
"763","ar",1041
"764","pistola",1039
"765","identificado",1035
"766","maría",1034
"767","moreno",1034
"768","mamá",1030
"769","prueba",1025
"770","aj",1024
"771","internacional",1024
"772","acerca",1022
"773","señalar",1017
"774","desconocer",1015
"775","enfrentamiento",1015
"776","martínez",1015
"777","pertenecía",1014
"778","érar",1012
"779","león",1008
"780","observación",1008
"781","adicional",1006
"782","ofrecer",1006
"783","mir",1003
"784","concreto",1002
"785","duarte",1002
"786","evitar",1002
"787","aceptar",1000
"788","do",1000
"789","especialmente",1000
"790","organizado",998
"791","asignado",996
"792","repetición",995
"793","coordinar",993
"794","completar",992
"795","reservado",992
"796","reportado",991
"797","valer",990
"798","margen",989
"799","pinto",987
"800","brasil",984
"801","per",984
"802","determinado",982
"803","justamente",981
"804","crimen",979
"805","intención",979
"806","pie",979
"807","expresión",976
"808","manifestado",976
"809","norma",976
"810","apoyar",974
"811","cerrar",974
"812","concepto",974
"813","peña",974
"814","plantear",973
"815","andrés",972
"816","montoya",972
"817","copia",971
"818","integral",971
"819","sánchez",970
"820","logístico",967
"821","vener",967
"822","luz",966
"823","papá",966
"824","revólver",964
"825","panza",963
"826","sociedad",962
"827","escenario",960
"828","ubicado",958
"829","agente",957
"830","contenido",955
"831","acceso",954
"832","delito",953
"833","folio",953
"834","gobierno",953
"835","antiguo",951
"836","cooperante",951
"837","gigante",951
"838","reacción",951
"839","ed",949
"840","criminal",947
"841","criterio",947
"842","sepa",946
"843","narrar",943
"844","rendir",943
"845","transmitir",942
"846","camión",940
"847","reserva",940
"848","ciclo",936
"849","tarjeta",936
"850","sucedido",935
"851","montar",934
"852","colombiano",932
"853","vista",930
"854","all",929
"855","precisión",929
"856","reentrenamiento",928
"857","actuación",927
"858","doctrina",927
"859","crear",926
"860","rita",923
"861","jiménez",922
"862","escoger",921
"863","parar",921
"864","rápido",921
"865","constar",920
"866","consecuencia",918
"867","salamancar",913
"868","garantizar",911
"869","vero",908
"870","quintero",907
"871","forero",900
"872","sur",900
"873","acercar",899
"874","amigo",899
"875","millón",898
"876","coordenado",896
"877","confirmar",895
"878","verificación",894
"879","esfuerzo",893
"880","bloque",892
"881","ramírez",892
"882","autorizar",891
"883","felicitar",890
"884","apoderado",889
"885","avanzar",889
"886","cuidar",887
"887","disponer",884
"888","voz",883
"889","quinto",882
"890","conseguir",881
"891","narcotráfico",881
"892","pu",881
"893","negro",880
"894","llamaban",879
"895","integrar",871
"896","miembro",871
"897","movir",871
"898","identificación",870
"899","estudio",869
"900","lista",869
"901","cobrar",867
"902","incentivo",866
"903","radiograma",864
"904","movilidad",863
"905","fuerte",861
"906","armada",860
"907","escucho",858
"908","inspección",858
"909","medalla",857
"910","capturado",856
"911","ochoa",856
"912","trato",854
"913","clarar",853
"914","tranquilo",853
"915","asistir",852
"916","ciudadanía",852
"917","carepar",851
"918","ejercicio",851
"919","representar",849
"920","defensor",848
"921","lejos",848
"922","montaña",847
"923","archivo",846
"924","foto",846
"925","salgo",846
"926","acosta",845
"927","frecuencia",845
"928","retirar",844
"929","activo",842
"930","historia",842
"931","batalla",841
"932","radicado",841
"933","carácter",838
"934","diario",838
"935","varga",838
"936","llevado",836
"937","personalmente",835
"938","técnica",834
"939","procesal",833
"940","de",832
"941","pigoanza",832
"942","vivo",832
"943","anterior",826
"944","esposa",826
"945","patrullar",826
"946","reconocido",822
"947","dijera",820
"948","estuvierar",819
"949","palomino",816
"950","explicación",815
"951","esclarecimiento",814
"952","riesgo",814
"953","met",813
"954","privado",812
"955","cara",811
"956","investigar",811
"957","pertinente",810
"958","ropa",809
"959","indicación",805
"960","burgo",801
"961","incluir",801
"962","testimonio",800
"963","agua",798
"964","corazón",798
"965","manifestación",798
"966","salido",798
"967","seor",798
"968","clase",797
"969","previamente",797
"970","pico",796
"971","intervenir",795
"972","micrófono",795
"973","salida",794
"974","serie",792
"975","conjunto",791
"976","ln",791
"977","objeto",791
"978","máximo",790
"979","continuación",789
"980","comandancia",787
"981","interés",787
"982","recién",787
"983","x",787
"984","amable",785
"985","rato",784
"986","resolución",784
"987","cargar",783
"988","presidente",782
"989","señala",781
"990","enlace",778
"991","impacto",778
"992","nación",778
"993","cauca",776
"994","dinámica",775
"995","jesús",775
"996","disponible",774
"997","libre",774
"998","testigo",772
"999","azteca",771
"1000","específicar",771
"1001","har",771
"1002","manifiesta",771
"1003","duro",769
"1004","tiro",769
"1005","cañón",768
"1006","mención",767
"1007","régimen",767
"1008","exacto",766
"1009","retén",766
"1010","ilegítima",764
"1011","banda",762
"1012","campamento",762
"1013","cercano",762
"1014","requerimiento",762
"1015","ingeniero",761
"1016","sentar",757
"1017","maniobra",756
"1018","capacitación",755
"1019","caquetar",755
"1020","proceder",755
"1021","entr",754
"1022","juzgado",754
"1023","puesto",750
"1024","simular",750
"1025","ilegítimamente",748
"1026","consistir",746
"1027","garantía",746
"1028","cometido",745
"1029","p",744
"1030","acuerde",743
"1031","norte",743
"1032","ario",742
"1033","legalizar",741
"1034","ambiente",740
"1035","compartir",739
"1036","cárdena",737
"1037","refiero",737
"1038","amor",734
"1039","sento",732
"1040","interno",729
"1041","lanzar",729
"1042","venido",729
"1043","david",727
"1044","manuel",727
"1045","fondo",725
"1046","ganar",725
"1047","campaña",724
"1048","colaborar",723
"1049","involucrado",720
"1050","homicidio",719
"1051","qui",719
"1052","definición",718
"1053","dispuesto",717
"1054","alvarado",716
"1055","desaparición",715
"1056","lado",715
"1057","calidad",714
"1058","humanitario",714
"1059","inicial",713
"1060","jorgir",713
"1061","quedé",713
"1062","ascender",711
"1063","escalante",711
"1064","kit",710
"1065","virno",707
"1066","dinamarcar",706
"1067","libro",706
"1068","suficiente",706
"1069","npr",703
"1070","desafortunadamente",702
"1071","nombrar",702
"1072","profundizar",702
"1073","vino",702
"1074","evaluación",701
"1075","cortar",700
"1076","entrada",698
"1077","interesar",697
"1078","relevar",697
"1079","negar",696
"1080","jaimir",695
"1081","preparar",694
"1082","visita",694
"1083","entra",692
"1084","llegada",691
"1085","otorgar",691
"1086","señal",691
"1087","controlar",690
"1088","físico",690
"1089","auxiliar",689
"1090","legislativo",688
"1091","prada",688
"1092","quedado",688
"1093","acreditado",687
"1094","subalterno",687
"1095","car",685
"1096","fuego",685
"1097","previo",684
"1098","cualquiera",683
"1099","algesira",682
"1100","convocado",682
"1101","bienestar",681
"1102","gordillo",681
"1103","advertir",680
"1104","nn",678
"1105","enterado",676
"1106","largo",675
"1107","estadístico",674
"1108","jamás",674
"1109","oigar",674
"1110","tratamiento",674
"1111","ubicación",673
"1112","video",673
"1113","irregularidad",671
"1114","transcurso",671
"1115","bandido",670
"1116","contrera",670
"1117","asegurar",669
"1118","violencia",667
"1119","llano",666
"1120","queja",665
"1121","reaccionar",664
"1122","levantar",663
"1123","óscar",663
"1124","quizás",662
"1125","conceder",661
"1126","arrancar",660
"1127","droga",660
"1128","recuperar",660
"1129","turbo",660
"1130","pedro",659
"1131","contrario",658
"1132","construcción",657
"1133","enter",657
"1134","complicado",656
"1135","costa",655
"1136","permítame",655
"1137","toro",655
"1138","disparado",654
"1139","condicionalidad",653
"1140","fe",653
"1141","pongo",653
"1142","comienzo",652
"1143","partida",652
"1144","sierra",652
"1145","solicito",652
"1146","delincuente",651
"1147","entregado",648
"1148","batón",647
"1149","díaz",647
"1150","instalación",647
"1151","manera",647
"1152","retirado",647
"1153","tod",647
"1154","causar",646
"1155","niña",646
"1156","diálogo",644
"1157","u",643
"1158","describir",642
"1159","posición",642
"1160","especializado",641
"1161","sangre",641
"1162","alberto",640
"1163","conductor",640
"1164","césar",639
"1165","wilser",639
"1166","brindar",638
"1167","discúlpemer",637
"1168","viaje",637
"1169","volví",637
"1170","flor",635
"1171","lugar",635
"1172","sentencia",635
"1173","breve",634
"1174","antonio",633
"1175","comparecer",631
"1176","indígena",630
"1177","colectivo",629
"1178","mayor",629
"1179","calle",627
"1180","john",627
"1181","orgánico",627
"1182","similar",627
"1183","ente",626
"1184","fabián",626
"1185","muñoz",626
"1186","trámitir",626
"1187","vender",626
"1188","sarento",625
"1189","g",624
"1190","premio",624
"1191","alejandro",623
"1192","asimismo",623
"1193","conducir",623
"1194","abordar",622
"1195","boletín",621
"1196","emboscada",621
"1197","terminado",621
"1198","exacta",620
"1199","amenaza",619
"1200","causa",619
"1201","cuidado",619
"1202","hermana",619
"1203","candidato",618
"1204","legalización",618
"1205","sonar",618
"1206","cuadrilla",617
"1207","atacar",615
"1208","nota",613
"1209","agustín",612
"1210","combatir",612
"1211","estratégico",612
"1212","informado",611
"1213","correo",610
"1214","repetir",609
"1215","muchacha",608
"1216","huber",607
"1217","identificada",607
"1218","parra",606
"1219","tierra",606
"1220","firmado",605
"1221","comandar",604
"1222","tercer",604
"1223","materia",603
"1224","constancia",601
"1225","oficio",599
"1226","alcalde",596
"1227","antenar",595
"1228","asistente",595
"1229","estén",595
"1230","investigado",595
"1231","víver",595
"1232","comparación",594
"1233","trujillo",594
"1234","encontrado",593
"1235","mora",592
"1236","rameli",592
"1237","sabíar",592
"1238","enviado",591
"1239","inconveniente",591
"1240","arena",590
"1241","atraco",590
"1242","haban",590
"1243","km",589
"1244","abierto",588
"1245","abrir",588
"1246","mario",588
"1247","restaurativa",587
"1248","acta",586
"1249","carta",586
"1250","suspender",586
"1251","temor",585
"1252","producto",584
"1253","autorización",583
"1254","casco",583
"1255","enfrentar",583
"1256","únicamente",583
"1257","destacado",582
"1258","novedad",582
"1259","uniformar",582
"1260","don",581
"1261","mente",581
"1262","aplicar",580
"1263","mitad",580
"1264","ascenso",578
"1265","villavicencio",578
"1266","corregimiento",577
"1267","hernández",577
"1268","patrón",575
"1269","dedicar",574
"1270","caleta",573
"1271","económico",573
"1272","generalmente",573
"1273","comida",572
"1274","contribución",572
"1275","cámara",572
"1276","dispar",572
"1277","estudiar",572
"1278","dierar",571
"1279","r",571
"1280","fase",570
"1281","aguilera",569
"1282","tomér",569
"1283","dr",568
"1284","grave",567
"1285","araucar",566
"1286","citar",565
"1287","expresar",565
"1288","mutatar",565
"1289","suponer",565
"1290","disculpa",564
"1291","hac",564
"1292","proteger",564
"1293","relacionar",564
"1294","supongo",564
"1295","azul",562
"1296","lógico",562
"1297","tirar",562
"1298","lógicamente",561
"1299","bravo",560
"1300","gustavo",560
"1301","interior",560
"1302","deja",559
"1303","esclarecer",559
"1304","vuelta",559
"1305","afectar",558
"1306","beir",558
"1307","recomendación",557
"1308","cont",556
"1309","detrás",556
"1310","evaluar",556
"1311","noticia",555
"1312","ayuda",554
"1313","explosivo",554
"1314","semestre",553
"1315","zapata",553
"1316","certeza",552
"1317","inquietud",552
"1318","milicia",552
"1319","dir",551
"1320","implicar",550
"1321","sinair",550
"1322","desempeño",549
"1323","reiro",549
"1324","estrategia",548
"1325","funcionamiento",547
"1326","legítimamente",547
"1327","determinación",546
"1328","fundamental",546
"1329","guardia",546
"1330","queder",545
"1331","corredor",544
"1332","tomado",544
"1333","puerta",543
"1334","resaltar",543
"1335","social",543
"1336","opinión",542
"1337","judicatura",541
"1338","correspondir",540
"1339","técnico",540
"1340","efectuar",538
"1341","bota",537
"1342","componente",537
"1343","posiblemente",536
"1344","asunto",535
"1345","pedirle",535
"1346","turno",535
"1347","cárcel",534
"1348","interviniente",534
"1349","tenerife",534
"1350","aguazul",533
"1351","carvajal",533
"1352","conexión",532
"1353","william",532
"1354","vestido",531
"1355","órgano",530
"1356","cruz",529
"1357","mínimo",529
"1358","uniformado",529
"1359","director",528
"1360","farc",528
"1361","tauramena",528
"1362","terrorista",528
"1363","alexander",527
"1364","anotación",527
"1365","desaparecer",527
"1366","felicitado",527
"1367","com",526
"1368","demorar",526
"1369","mm",526
"1370","ojeda",526
"1371","rural",526
"1372","monte",525
"1373","percibir",525
"1374","convitar",524
"1375","conformado",523
"1376","delegado",523
"1377","contestar",522
"1378","corto",522
"1379","protección",522
"1380","surgir",522
"1381","perfil",521
"1382","exigencia",520
"1383","registrar",520
"1384","to",519
"1385","cabecilla",518
"1386","corta",518
"1387","carrillo",517
"1388","pertenecer",517
"1389","ampliar",515
"1390","eduardo",515
"1391","explico",515
"1392","consultar",514
"1393","registrado",514
"1394","cartucho",513
"1395","ofensiva",513
"1396","quear",513
"1397","ojo",512
"1398","planeación",511
"1399","referido",511
"1400","aprender",510
"1401","correspondiente",510
"1402","especie",510
"1403","hm",510
"1404","importancia",510
"1405","rindir",510
"1406","doora",509
"1407","visitar",509
"1408","que",508
"1409","rey",508
"1410","ter",508
"1411","hugo",507
"1412","efectivo",506
"1413","intermedio",506
"1414","robar",506
"1415","audio",504
"1416","madrugada",504
"1417","afirmar",503
"1418","v",503
"1419","coronado",502
